ISO,Country,Country_FR,AU_Regions,Area,Upop1950,Upop1960,Upop1970,Upop1980,Upop1990,Upop2000,Upop2010,Upop2015,Upop2020,Upop2025,Upop2030,Upop2035,Upop2040,Upop2045,Upop2050,Usurf2015,Usurf2020,Usurf2025,Usurf2030,Usurf2035,Usurf2040,Usurf2045,Usurf2050,TPOP1950,TPOP1960,TPOP1970,TPOP1980,TPOP1990,TPOP2000,TPOP2010,TPOP2015,TPOP2020,TPOP2025,TPOP2030,TPOP2035,TPOP2040,TPOP2045,TPOP2050,Urbanlevel1950,Urbanlevel1960,Urbanlevel1970,Urbanlevel1980,Urbanlevel1990,Urbanlevel2000,Urbanlevel2010,Urbanlevel2015,Urbanlevel2020,Urbanlevel2025,Urbanlevel2030,Urbanlevel2035,Urbanlevel2040,Urbanlevel2045,Urbanlevel2050,NumAgglos1950,NumAgglos1960,NumAgglos1970,NumAgglos1980,NumAgglos1990,NumAgglos2000,NumAgglos2010,NumAgglos2015,NumAgglos2020,NumAgglos2025,NumAgglos2030,NumAgglos2035,NumAgglos2040,NumAgglos2045,NumAgglos2050,Mpop1950,Mpop1960,Mpop1970,Mpop1980,Mpop1990,Mpop2000,Mpop2010,Mpop2015,Mpop2020,Mpop2025,Mpop2030,Mpop2035,Mpop2040,Mpop2045,Mpop2050,ADBA1950,ADBA1960,ADBA1970,ADBA1980,ADBA1990,ADBA2000,ADBA2010,ADBA2015,ADBA2020,ADBA2025,ADBA2030,ADBA2035,ADBA2040,ADBA2045,ADBA2050
MLI,Mali,Mali,West Africa,"1,220,190","142,373","199,161","394,899","908,758","1,379,479","2,324,660","4,267,902","5,557,442","6,942,756","8,403,774","10,065,981","11,707,858","13,486,107","15,167,007","16,738,813","1,099","1,644","2,111","2,688","3,390","4,241","5,100","5,864","3,400,000","4,070,600","5,094,103","6,726,293","8,223,125","10,629,613","15,178,189","17,819,002","20,250,834","23,186,701","26,260,505","29,338,686","32,329,405","35,102,999","37,718,081",4%,5%,8%,14%,17%,22%,28%,31%,34%,36%,38%,40%,42%,43%,44%,4,4,12,16,22,38,71,91,106,124,150,163,187,205,210,58%,64%,51%,54%,54%,53%,51%,50%,51%,50%,50%,50%,50%,50%,51%,261.4,261.4,154.1,116.1,97.5,67.9,41.1,38.4,36.1,32.6,29.4,27.8,26.7,24.9,24.7
MOZ,Mozambique,Mozambique,Southern Africa,"786,380","135,865","263,000","590,526","1,618,702","2,396,958","4,596,111","6,760,357","8,230,164","12,083,825","14,681,334","17,456,923","20,253,483","23,042,392","25,826,655","28,507,409","2,679","4,244","5,291","6,606","8,125","9,735","11,478","13,272","5,738,911","6,593,000","8,253,844","11,629,220","13,654,362","16,617,337","22,739,460","26,961,267","31,255,435","35,597,091","40,105,204","44,618,740","49,022,073","53,323,661","57,292,856",2%,4%,7%,14%,18%,28%,30%,31%,39%,41%,44%,45%,47%,48%,50%,2,3,6,15,15,57,122,141,233,266,301,324,332,347,358,69%,70%,75%,44%,44%,32%,30%,32%,22%,20%,19%,18%,17%,17%,16%,720.0,796.1,251.7,130.8,119.8,59.4,33.0,30.7,22.8,21.6,21.4,21.3,21.1,21.3,21.0
MRT,Mauritania,Mauritanie,North Africa,"1,030,700",-,-,"81,251","306,186","712,017","836,104","1,331,741","1,713,049","1,986,309","2,317,046","2,638,717","2,990,695","3,333,023","3,671,294","4,052,419",383,468,585,708,865,"1,036","1,223","1,430","847,000","1,007,000","1,214,828","1,465,549","1,959,615","2,508,159","3,279,199","4,034,103","4,649,660","5,240,213","5,845,041","6,458,573","7,076,548","7,694,340","8,294,557",0%,0%,7%,21%,36%,33%,41%,42%,43%,44%,45%,46%,47%,48%,49%,0,0,4,7,15,12,20,23,26,30,31,34,35,35,39,0%,0%,50%,60%,59%,67%,64%,62%,63%,63%,63%,63%,63%,64%,63%,0.0,0.0,351.3,235.4,152.7,180.0,120.2,105.3,98.0,90.6,89.2,82.3,79.5,79.5,71.3
MUS,Mauritius,Maurice,East Africa,"2,040","78,191","138,383","427,871","526,454","586,923","755,672","879,219","933,884","1,049,596","1,056,597","1,054,140","1,042,560","1,021,995","974,576","934,090",221,263,265,265,265,265,259,257,"492,417","658,225","818,360","959,518","1,056,660","1,178,848","1,231,679","1,262,605","1,222,000","1,217,549","1,202,400","1,177,254","1,142,562","1,100,910","1,055,810",16%,21%,52%,55%,56%,64%,71%,74%,86%,87%,88%,89%,89%,89%,88%,1,3,7,8,9,11,14,15,16,16,16,16,16,14,13,100%,81%,81%,79%,77%,74%,71%,66%,61%,61%,61%,61%,61%,62%,63%,0.0,15.6,13.2,12.2,10.1,9.5,48.8,45.9,43.6,43.6,43.6,43.6,43.6,49.7,52.9
MWI,Malawi,Malawi,Southern Africa,"94,280","24,483","100,392","207,877","451,274","879,043","1,423,803","3,193,337","3,939,410","6,593,120","8,020,232","9,257,515","10,469,493","11,814,107","13,132,555","14,268,651","1,128","2,218","2,802","3,355","3,983","4,740","5,530","6,232","2,250,347","3,041,119","4,533,465","6,188,788","8,455,460","10,340,837","13,948,594","16,310,428","18,450,000","20,824,102","23,309,099","25,801,171","28,252,450","30,639,089","32,861,370",1%,3%,5%,7%,10%,14%,23%,24%,36%,39%,40%,41%,42%,43%,43%,1,3,4,6,13,19,51,58,148,163,178,183,199,210,206,100%,87%,85%,83%,74%,69%,51%,50%,35%,34%,33%,32%,31%,30%,31%,0.0,118.1,158.8,118.1,80.8,58.1,25.9,23.5,12.5,11.9,11.6,11.5,10.8,10.4,10.7
NAM,Namibia,Namibie,Southern Africa,"823,290","20,205","48,200","106,200","169,942","318,373","503,591","740,517","877,767","1,113,454","1,345,089","1,579,623","1,873,689","2,155,360","2,443,838","2,730,075",301,443,582,764,995,"1,273","1,580","1,847","406,195","518,600","746,400","1,013,987","1,388,933","1,781,704","2,079,950","2,210,000","2,505,000","2,703,696","2,899,885","3,094,687","3,282,692","3,460,839","3,619,667",5%,9%,14%,17%,23%,28%,36%,40%,44%,50%,54%,61%,66%,71%,75%,1,2,4,7,12,15,16,16,20,21,21,25,26,25,24,100%,75%,58%,54%,44%,44%,42%,41%,42%,42%,43%,42%,42%,42%,42%,0.0,267.0,341.0,161.4,159.7,143.8,137.6,137.6,120.9,120.3,120.3,107.9,106.3,112.7,116.0
NER,Niger,Niger,West Africa,"1,266,700","23,300","84,248","215,538","519,163","1,080,886","1,690,581","2,482,011","3,259,324","4,352,536","5,686,639","7,141,637","8,941,234","10,963,911","13,040,669","15,128,289",555,805,"1,106","1,506","2,059","2,755","3,459","4,184","2,163,500","2,866,700","4,007,686","5,616,234","7,609,373","10,706,910","15,582,162","18,850,739","24,206,636","28,889,910","34,127,901","39,810,615","45,785,144","51,846,050","57,775,013",1%,3%,5%,9%,14%,16%,16%,17%,18%,20%,21%,22%,24%,25%,26%,2,4,6,10,23,36,47,67,102,144,177,224,274,320,365,0%,40%,47%,50%,40%,39%,37%,33%,29%,25%,23%,20%,18%,16%,15%,406.6,250.0,220.9,128.4,83.3,58.1,44.4,37.9,27.4,26.3,24.8,21.4,17.1,15.6,14.2
NGA,Nigeria,Nigéria,West Africa,"910,770","3,397,007","7,524,920","11,165,700","18,159,800","29,196,700","43,813,700","71,352,400","94,523,389","119,924,006","140,162,121","161,827,178","183,942,535","206,517,988","228,792,011","250,291,025","16,358","21,929","26,313","31,481","37,414","44,232","51,844","59,843","31,800,000","39,230,000","49,300,000","65,700,000","86,950,000","116,861,000","160,832,000","186,939,800","205,427,000","230,620,727","256,755,060","282,683,558","308,000,640","331,617,159","353,474,985",11%,19%,23%,28%,34%,37%,44%,51%,58%,61%,63%,65%,67%,69%,71%,89,169,249,396,478,653,829,1032,1469,1610,1742,1821,1871,1915,1924,9%,11%,14%,15%,17%,17%,17%,15%,14%,14%,16%,17%,18%,18%,18%,42.3,35.1,28.5,22.9,21.1,18.1,16.0,14.2,11.6,11.1,10.8,10.5,10.5,10.4,10.4
RWA,Rwanda,Rwanda,East Africa,"24,670","11,767",-,"57,400","155,103","258,262","1,663,747","5,156,790","6,231,344","8,338,427","9,485,155","10,655,410","11,848,851","13,071,469","14,302,418","15,484,304","2,341","2,382","2,846","3,378","3,977","4,664","5,283","5,841","1,888,136","2,606,102","3,757,100","5,100,569","6,724,817","7,893,222","9,996,466","11,346,291","12,649,000","14,079,925","15,501,303","16,900,110","18,286,026","19,616,803","20,845,017",1%,0%,2%,3%,4%,21%,52%,55%,66%,67%,69%,70%,71%,73%,74%,1,0,1,3,3,40,40,41,53,47,45,41,37,29,27,100%,0%,100%,83%,86%,48%,40%,35%,36%,38%,49%,51%,53%,59%,67%,0.0,0.0,0.0,63.2,63.2,12.9,12.9,12.7,10.4,10.8,10.5,11.0,11.4,13.4,12.3
SDN,Sudan,Soudan,East Africa,"1,861,484","534,692","869,120","1,696,731","2,985,750","5,415,841","8,843,031","13,161,429","16,016,274","20,397,487","24,162,571","28,041,201","32,252,122","36,582,475","40,974,216","45,427,704","2,978","3,736","4,709","5,852","7,298","8,990","10,673","12,482","6,507,900","8,273,681","11,199,755","14,503,641","18,218,133","24,516,008","32,923,005","38,435,252","43,849,269","48,858,514","54,033,366","59,260,084","64,420,097","69,490,448","74,342,175",8%,11%,15%,21%,30%,36%,40%,42%,47%,49%,52%,54%,57%,59%,61%,13,21,35,50,77,140,216,272,324,338,346,353,358,363,362,43%,39%,39%,40%,40%,39%,35%,33%,36%,40%,42%,45%,47%,49%,50%,206.9,112.4,71.0,59.8,47.9,33.4,28.3,24.2,22.6,22.3,22.0,21.7,21.4,21.4,21.6
