ISO,Country,Country_FR,AU_Regions,Area,Upop1950,Upop1960,Upop1970,Upop1980,Upop1990,Upop2000,Upop2010,Upop2015,Upop2020,Upop2025,Upop2030,Upop2035,Upop2040,Upop2045,Upop2050,Usurf2015,Usurf2020,Usurf2025,Usurf2030,Usurf2035,Usurf2040,Usurf2045,Usurf2050,TPOP1950,TPOP1960,TPOP1970,TPOP1980,TPOP1990,TPOP2000,TPOP2010,TPOP2015,TPOP2020,TPOP2025,TPOP2030,TPOP2035,TPOP2040,TPOP2045,TPOP2050,Urbanlevel1950,Urbanlevel1960,Urbanlevel1970,Urbanlevel1980,Urbanlevel1990,Urbanlevel2000,Urbanlevel2010,Urbanlevel2015,Urbanlevel2020,Urbanlevel2025,Urbanlevel2030,Urbanlevel2035,Urbanlevel2040,Urbanlevel2045,Urbanlevel2050,NumAgglos1950,NumAgglos1960,NumAgglos1970,NumAgglos1980,NumAgglos1990,NumAgglos2000,NumAgglos2010,NumAgglos2015,NumAgglos2020,NumAgglos2025,NumAgglos2030,NumAgglos2035,NumAgglos2040,NumAgglos2045,NumAgglos2050,Mpop1950,Mpop1960,Mpop1970,Mpop1980,Mpop1990,Mpop2000,Mpop2010,Mpop2015,Mpop2020,Mpop2025,Mpop2030,Mpop2035,Mpop2040,Mpop2045,Mpop2050,ADBA1950,ADBA1960,ADBA1970,ADBA1980,ADBA1990,ADBA2000,ADBA2010,ADBA2015,ADBA2020,ADBA2025,ADBA2030,ADBA2035,ADBA2040,ADBA2045,ADBA2050
SEN,Senegal,Sénégal,West Africa,"192,530","404,500","552,055","970,477","1,825,575","2,956,354","3,878,190","5,681,204","6,941,083","8,904,541","10,381,509","11,993,587","13,662,368","15,531,341","17,395,449","19,380,168",877,"1,200","1,500","1,860","2,280","2,819","3,420","4,078","2,059,600","2,528,617","3,775,834","5,648,478","7,249,783","9,479,436","12,230,256","14,143,151","16,705,000","18,830,069","21,038,693","23,328,298","25,705,712","28,074,213","30,455,777",20%,22%,26%,32%,41%,41%,46%,49%,53%,55%,57%,59%,60%,62%,64%,7,8,11,24,31,39,53,65,89,107,127,140,155,165,181,57%,57%,57%,53%,54%,51%,46%,44%,44%,42%,41%,41%,40%,40%,39%,70.5,65.8,72.9,41.4,46.6,39.2,32.2,27.5,21.9,19.2,17.5,16.0,14.7,14.2,14.0
SLE,Sierra Leone,Sierra Leone,West Africa,"72,180","90,739","158,432","334,670","624,043","906,931","1,293,567","1,840,169","2,562,278","3,390,300","3,495,282","3,987,551","4,487,988","4,973,465","5,453,944","5,905,916",386,418,434,515,609,709,822,942,"1,914,810","2,115,980","2,518,724","3,136,611","3,849,747","4,615,781","5,952,263","7,092,113","7,470,000","8,143,911","8,784,416","9,374,167","9,922,492","10,419,447","10,829,335",5%,7%,13%,20%,24%,28%,31%,36%,45%,43%,45%,48%,50%,52%,55%,2,4,6,9,11,16,18,23,24,24,24,24,23,23,23,81%,71%,62%,59%,59%,57%,57%,57%,59%,59%,59%,60%,60%,61%,61%,141.3,85.2,62.7,49.0,45.1,40.6,36.0,32.7,31.4,31.4,31.4,31.4,33.8,33.8,33.8
SOM,Somalia,Somalie,East Africa,"627,340","154,067","268,629","467,227","837,539","1,316,315","2,075,840","3,435,147","4,540,800","5,694,056","7,089,647","8,725,880","10,559,382","12,552,434","14,705,021","17,036,798",469,630,881,"1,283","1,796","2,457","3,250","4,244","1,816,144","2,230,000","3,363,000","5,074,000","7,555,000","9,000,000","10,874,931","12,675,000","14,475,000","16,593,678","18,914,966","21,344,014","23,835,336","26,327,735","28,876,199",8%,12%,14%,17%,17%,23%,32%,36%,39%,43%,46%,49%,53%,56%,59%,4,11,13,16,22,28,42,48,60,69,77,85,89,94,97,51%,52%,61%,65%,63%,61%,57%,53%,50%,48%,46%,45%,43%,42%,41%,245.8,74.7,104.9,114.4,101.4,83.0,68.0,64.1,54.2,47.7,46.8,43.9,43.0,41.4,39.4
SSD,South Sudan,Soudan du Sud,East Africa,"644,329","18,000","44,480","157,130","285,846","456,779","764,925","1,929,114","2,703,500","5,071,017","5,835,925","6,653,206","7,571,412","8,469,915","9,441,565","10,404,066",810,"1,685","2,009","2,407","2,922","3,448","4,051","4,707","2,211,283","2,833,347","2,936,369","4,471,018","6,025,072","7,179,555","9,447,153","12,408,235","11,193,729","12,325,963","13,510,831","14,722,338","15,883,852","16,997,700","18,029,260",1%,2%,5%,6%,8%,11%,20%,22%,45%,47%,49%,51%,53%,56%,58%,1,3,7,10,12,15,45,53,71,72,71,74,74,76,81,100%,38%,27%,26%,24%,22%,16%,14%,19%,21%,23%,25%,27%,28%,29%,0.0,454.3,143.3,175.2,143.3,143.8,58.4,47.2,36.3,39.2,40.8,40.2,40.4,42.1,39.5
STP,Sao Tome and Principe,Sao Tomé-et-Principe,Central Africa,960,-,-,"19,636","35,386","51,109","62,563","112,719","160,051","154,470","175,225","208,947","224,136","238,826","252,890","265,828",33,29,31,37,40,43,47,49,"60,687","152,591","73,947","93,961","115,202","135,428","178,174","199,000","210,000","229,146","251,405","274,842","298,571","322,446","345,826",0%,0%,27%,38%,44%,46%,63%,80%,74%,76%,83%,82%,80%,78%,77%,0,0,1,1,1,1,3,3,3,4,6,6,6,6,6,0%,0%,100%,100%,100%,100%,80%,84%,81%,75%,66%,65%,63%,61%,60%,0.0,0.0,0.0,0.0,0.0,0.0,11.9,11.9,11.9,10.6,33.9,33.9,33.9,33.9,33.9
SWZ,Kingdom of Eswatini,Royaume d’Eswatini,Southern Africa,"17,200",-,-,"37,292","63,059","104,093","250,721","287,346","300,643","447,659","522,938","576,296","649,582","720,065","790,556","857,606",398,449,548,626,741,855,984,"1,123","197,673","278,656","418,600","562,072","793,220","982,385","1,041,807","1,079,382","1,160,164","1,210,364","1,268,109","1,351,376","1,431,759","1,505,349","1,566,824",0%,0%,9%,11%,13%,26%,28%,28%,39%,43%,45%,48%,50%,53%,55%,0,0,2,2,2,5,5,5,9,8,8,8,7,7,7,0%,0%,100%,100%,100%,79%,81%,82%,64%,63%,64%,64%,67%,68%,68%,0.0,0.0,13.8,13.8,13.8,15.3,15.3,15.3,13.1,14.3,14.3,14.3,14.5,14.5,14.5
SYC,Seychelles,Seychelles,East Africa,459,"10,265","13,392","19,502","23,629","24,242","58,455","63,960","67,821","76,573","78,045","78,872","79,249","79,122","78,434","77,165",41,48,49,50,50,50,50,50,"36,093","41,425","51,734","63,771","70,634","79,232","88,311","93,419","98,000","100,147","101,125","101,522","101,276","100,312","98,607",28%,32%,38%,37%,34%,74%,72%,73%,78%,78%,78%,78%,78%,78%,78%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCD,Chad,Tchad,Central Africa,"1,259,200","56,500","136,306","315,059","582,731","971,608","1,550,601","2,890,553","3,835,024","5,241,045","6,374,365","7,700,555","9,008,478","10,401,802","11,809,071","13,267,943",729,"1,086","1,412","1,857","2,376","3,011","3,663","4,339","2,241,800","2,898,800","3,393,207","4,387,191","5,766,352","8,173,180","11,755,309","13,670,084","16,425,859","18,780,987","21,209,333","23,677,566","26,097,063","28,485,702","30,761,550",3%,5%,9%,13%,17%,19%,25%,28%,32%,34%,36%,38%,40%,41%,43%,3,4,9,14,25,36,68,89,125,139,159,169,183,188,199,42%,48%,47%,49%,47%,45%,35%,32%,31%,31%,31%,32%,33%,33%,34%,302.4,371.1,155.9,93.4,79.4,81.3,52.9,47.5,37.6,35.2,32.0,30.4,29.2,28.7,29.4
TGO,Togo,Togo,West Africa,"54,390","42,658","152,563","386,493","651,811","850,000","1,243,813","2,508,190","3,308,607","4,676,344","5,635,146","6,578,996","7,641,297","8,784,273","10,010,482","11,101,301",860,"1,239","1,584","1,954","2,408","2,960","3,613","4,159","1,049,576","1,480,103","1,953,800","2,621,315","3,440,411","4,531,349","6,112,083","6,835,000","7,690,000","8,551,251","9,454,782","10,383,766","11,309,420","12,211,150","13,055,559",4%,10%,20%,25%,25%,27%,41%,48%,61%,66%,70%,74%,78%,82%,85%,1,3,14,16,18,24,40,49,66,78,84,92,102,109,105,100%,83%,49%,57%,56%,54%,56%,52%,58%,61%,61%,61%,61%,62%,62%,0.0,140.1,41.3,37.2,32.6,27.3,22.1,18.0,13.8,13.7,13.5,13.1,12.8,12.6,12.9
TUN,Tunisia,Tunisie,North Africa,"155,360","747,768","953,117","1,354,899","2,145,972","3,314,404","4,423,660","5,403,917","6,276,349","8,363,174","8,754,846","9,055,963","9,296,734","9,476,732","9,649,481","9,747,092","1,914","2,212","2,348","2,456","2,541","2,608","2,674","2,711","3,435,334","4,089,789","4,989,056","6,333,316","8,050,601","9,467,124","10,562,421","11,118,935","11,818,618","12,020,154","12,308,187","12,498,552","12,619,352","12,689,752","12,701,806",22%,23%,27%,34%,41%,47%,51%,56%,71%,73%,74%,74%,75%,76%,77%,14,19,25,41,58,63,69,73,96,96,96,97,97,100,100,55%,51%,46%,38%,36%,36%,35%,39%,37%,37%,37%,37%,37%,37%,37%,53.0,41.5,36.5,31.3,27.2,26.5,25.4,24.4,21.3,21.3,21.3,21.2,21.2,20.7,20.7
TZA,Tanzania,Tanzanie,East Africa,"885,800","195,907","424,651","888,799","2,076,074","3,721,534","8,939,704","14,189,900","17,936,686","21,483,173","26,098,984","31,072,057","36,423,018","41,787,266","47,495,915","52,992,339","5,529","6,296","7,829","9,710","12,096","14,898","17,791","20,791","7,883,487","9,748,151","13,544,514","18,528,123","24,513,421","32,616,955","42,408,745","48,786,205","57,640,000","65,856,480","74,662,299","83,983,157","93,620,601","103,304,894","112,869,158",2%,4%,7%,11%,15%,27%,33%,37%,37%,40%,42%,43%,45%,46%,47%,7,13,19,40,69,166,194,200,414,487,558,621,647,696,712,40%,38%,40%,38%,33%,25%,28%,30%,26%,26%,27%,27%,28%,29%,29%,209.9,147.9,139.3,83.9,59.0,29.9,26.9,26.4,17.7,15.8,14.5,13.6,13.5,13.1,12.9
UGA,Uganda,Ouganda,East Africa,"200,520","42,665","193,413","483,442","674,265","1,644,399","3,112,822","5,411,519","13,546,404","20,364,936","26,520,136","31,949,709","37,673,108","43,633,618","49,780,574","55,843,543","5,009","8,414","11,670","14,828","18,330","22,188","26,139","30,065","5,198,948","6,759,428","9,767,329","12,636,300","16,213,245","22,246,679","31,196,309","35,550,628","41,584,000","46,975,054","52,454,461","57,739,299","62,698,797","67,454,837","71,783,789",1%,3%,5%,5%,10%,14%,17%,38%,49%,56%,61%,65%,70%,74%,78%,2,4,8,10,31,61,89,116,303,319,332,325,326,337,334,75%,70%,70%,68%,52%,47%,45%,28%,23%,23%,24%,24%,29%,30%,31%,65.8,145.6,105.7,93.8,43.0,30.5,24.4,21.3,11.4,11.5,11.0,11.0,10.6,10.3,10.1
ZAF,South Africa,Afrique du Sud,Southern Africa,"1,213,090","2,951,621","4,625,269","6,507,416","9,365,200","12,667,664","21,051,678","32,569,033","36,912,916","43,364,034","47,017,318","49,744,424","52,078,948","54,147,937","55,847,229","57,174,078","12,824","14,416","16,046","17,157","18,145","19,088","19,890","20,566","12,546,205","15,996,200","19,163,800","24,261,000","36,580,632","44,019,292","50,845,933","54,646,556","59,308,690","62,197,777","64,650,112","66,600,452","68,207,200","69,345,748","70,040,390",24%,29%,34%,39%,35%,48%,64%,68%,73%,76%,77%,78%,79%,81%,82%,33,49,70,100,130,348,430,472,586,573,573,573,573,567,564,66%,64%,62%,56%,50%,42%,41%,41%,38%,40%,45%,50%,51%,52%,52%,87.6,71.7,57.5,38.6,40.5,21.7,20.2,19.0,16.4,16.7,16.6,16.7,16.6,16.6,16.8
ZMB,Zambia,Zambie,Southern Africa,"743,390","306,100","610,525","1,127,741","2,065,126","2,486,856","3,474,575","5,283,129","6,855,200","8,347,300","9,735,464","11,322,481","12,956,911","14,733,639","16,563,471","18,407,437","1,741","2,118","2,676","3,390","4,238","5,242","6,407","7,733","2,301,555","3,204,687","4,181,808","5,679,900","7,383,097","10,285,631","13,046,508","15,474,000","18,577,000","21,192,403","24,003,527","26,915,765","29,880,006","32,854,628","35,771,692",13%,19%,27%,36%,34%,34%,40%,44%,45%,46%,47%,48%,49%,50%,51%,8,9,14,24,26,42,57,75,102,106,116,121,129,137,146,13%,19%,23%,26%,31%,34%,37%,35%,33%,33%,33%,32%,31%,32%,31%,91.7,81.7,106.6,94.1,99.4,73.2,69.9,57.7,39.9,38.8,36.5,35.4,33.5,32.5,30.4
ZWE,Zimbabwe,Zimbabwe,Southern Africa,"386,850","405,017","872,608","854,744","1,348,249","2,233,129","3,053,145","3,597,183","4,607,030","5,691,095","6,198,314","6,795,104","7,484,492","8,141,366","8,762,709","9,322,046","1,204","1,579","1,808","2,077","2,432","2,804","3,173","3,537","2,234,458","3,317,219","5,275,105","7,082,820","9,700,477","11,354,042","12,733,085","13,943,242","14,730,000","15,784,330","17,034,746","18,365,980","19,661,928","20,862,648","21,883,982",18%,26%,16%,19%,23%,27%,28%,33%,39%,39%,40%,41%,41%,42%,43%,8,13,13,15,23,27,39,45,76,74,75,79,84,87,91,75%,75%,74%,72%,69%,68%,61%,64%,57%,58%,58%,59%,58%,58%,58%,122.9,84.2,90.7,75.6,59.0,62.3,48.7,41.5,29.6,31.0,31.8,30.5,29.2,31.0,29.7
CA,Central Africa,Afrique centrale,Region,"5,275,800","1,146,346","2,790,164","7,074,491","11,537,839","18,510,404","25,919,918","41,912,932","56,296,241","82,598,205","100,375,725","119,054,798","138,410,766","158,338,710","178,662,607","198,853,419","9,621","15,262","19,625","24,841","30,975","37,908","45,809","53,797","22,977,927","26,999,664","37,848,157","49,426,780","65,625,303","86,880,793","114,188,096","129,866,781","162,821,572","186,594,052","210,052,484","233,443,743","256,428,623","278,391,475","299,224,043",5%,10%,19%,23%,28%,30%,37%,43%,51%,54%,57%,59%,62%,64%,66%,35,70,149,199,262,306,615,815,1156,1168,1213,1212,1183,1167,1161,57%,46%,41%,45%,48%,48%,43%,41%,37%,37%,41%,42%,43%,43%,44%,146.9,130.9,78.9,68.4,63.4,62.9,37.3,31.9,25.9,26.2,26.0,26.4,26.9,27.5,27.9
EA,East Africa,Afrique de l'Est,Region,"6,528,662","2,314,563","3,949,343","7,708,415","13,466,265","22,368,028","42,375,939","73,262,502","110,090,945","160,135,383","191,289,773","222,124,350","254,628,249","287,685,488","321,365,519","354,603,292","35,888","65,707","79,955","94,951","112,274","131,108","149,335","167,602","56,305,160","70,559,835","90,822,325","124,133,928","166,213,725","215,189,868","286,527,546","326,079,056","365,356,039","409,162,792","453,732,347","498,016,074","541,184,892","582,924,497","622,365,581",4%,6%,8%,11%,13%,20%,26%,34%,44%,47%,49%,51%,53%,55%,57%,54,90,149,237,365,701,1086,1371,2041,2182,2305,2370,2407,2461,2461,62%,58%,57%,53%,49%,43%,38%,31%,27%,31%,32%,32%,34%,34%,28%,205.4,138.9,102.8,81.0,63.5,41.1,32.2,27.3,20.8,20.1,19.6,19.3,19.1,18.9,18.8
,North Africa,Afrique du Nord,Region,"6,769,090","10,242,667","15,615,176","22,714,667","33,011,153","47,928,695","63,037,258","86,417,736","116,332,409","172,053,752","186,674,618","199,807,121","212,586,217","225,087,511","236,875,834","247,344,574","17,621","23,116","25,732","28,153","30,574","33,065","35,584","37,862","43,343,894","54,148,720","68,993,786","88,560,882","114,864,857","139,639,825","167,084,372","185,375,245","206,495,282","224,759,069","237,980,972","250,534,589","262,748,427","273,995,331","283,812,505",24%,29%,33%,37%,42%,45%,52%,63%,83%,83%,84%,85%,86%,86%,87%,155,236,325,461,678,928,1146,1302,1723,1744,1794,1835,1858,1867,1859,43%,43%,44%,41%,38%,35%,34%,33%,33%,34%,33%,33%,33%,33%,33%,45.4,36.4,38.7,34.4,28.5,24.1,21.3,19.3,16.1,16.4,16.2,16.0,16.0,15.9,16.0
SA,Southern Africa,Afrique australe,Region,"5,908,270","4,063,591","6,914,887","10,340,009","16,955,853","24,359,496","39,633,917","64,184,113","79,223,660","99,424,915","113,365,318","127,206,408","141,258,820","155,672,866","169,935,869","183,714,293","23,458","28,943","34,110","39,442","45,546","52,432","59,645","66,756","30,696,203","39,065,786","49,800,793","66,122,125","90,784,563","112,715,624","140,871,064","159,811,466","181,534,541","200,286,937","219,773,977","239,355,390","258,728,404","277,521,222","295,115,552",13%,18%,21%,26%,27%,35%,46%,50%,55%,57%,58%,59%,60%,61%,62%,58,87,132,200,268,579,824,938,1340,1379,1451,1500,1540,1573,1595,63%,62%,60%,53%,50%,44%,43%,42%,38%,38%,40%,41%,41%,41%,40%,116.5,92.6,90.3,65.8,58.8,37.0,31.4,29.4,22.9,22.9,22.4,22.3,22.3,22.4,22.4
WA,West Africa,Afrique de l'Ouest,Region,"5,032,970","4,956,689","10,849,558","18,109,934","31,124,914","50,211,866","76,206,975","122,837,376","158,079,509","202,529,359","237,562,062","275,671,220","315,247,150","356,064,553","396,789,222","436,305,386","28,440","41,704","50,994","62,171","75,269","90,343","106,944","123,796","58,940,750","73,543,545","95,089,356","127,597,314","167,755,929","222,310,382","303,521,146","350,630,992","395,749,135","445,709,844","497,887,843","550,501,850","602,691,849","652,760,544","700,010,846",8%,15%,19%,24%,30%,34%,40%,45%,51%,53%,55%,57%,59%,61%,62%,134,254,399,641,822,1163,1599,1967,2739,3047,3358,3605,3813,3968,4063,26%,26%,30%,32%,32%,32%,31%,29%,28%,28%,29%,29%,30%,30%,30%,68.0,50.8,42.1,33.9,31.0,26.0,21.6,19.2,15.6,15.0,14.4,14.0,13.6,13.3,13.2
AA,Africa,Afrique,Region,"29,514,792","22,723,856","40,119,128","65,947,516","106,096,024","163,378,489","247,174,007","388,614,659","520,022,764","716,741,614","829,267,496","943,863,897","1,062,131,203","1,182,849,129","1,303,629,052","1,420,820,964","115,028","174,732","210,415","249,558","294,637","344,858","397,317","449,814","212,263,934","264,317,550","342,554,417","455,841,029","605,244,377","776,736,492","1,012,192,224","1,151,763,540","1,311,956,569","1,466,512,694","1,619,427,623","1,771,851,646","1,921,782,195","2,065,593,069","2,200,528,527",11%,15%,19%,23%,27%,32%,38%,45%,55%,57%,58%,60%,62%,63%,65%,436,737,1154,1738,2395,3677,5270,6393,8999,9520,10121,10522,10801,11036,11139,46%,43%,44%,42%,40%,38%,36%,34%,31%,32%,33%,34%,35%,35%,34%,87.6,67.3,57.9,47.0,40.9,32.6,26.7,23.8,19.0,18.7,18.2,17.9,17.7,17.6,17.5
UMA,Arab Maghreb Union,Union du Maghreb arabe,Regional entities,"5,773,640","4,817,913","7,623,099","11,338,778","17,518,581","26,593,064","36,367,587","46,867,106","55,862,037","71,755,405","77,821,329","83,137,029","87,981,992","92,528,061","96,842,013","100,718,173","11,930","14,754","16,340","17,759","19,118","20,496","21,827","23,054","22,899,864","28,398,832","36,642,002","47,982,902","62,868,600","75,789,939","87,393,181","94,748,429","104,160,879","110,115,549","115,287,394","119,624,253","123,481,057","126,957,777","129,864,887",21%,27%,31%,37%,42%,48%,54%,59%,69%,71%,72%,74%,75%,76%,78%,88,143,191,266,382,537,637,712,906,940,961,983,1002,1012,1021,39%,36%,37%,34%,31%,28%,27%,28%,26%,27%,27%,27%,27%,27%,27%,65.8,50.2,54.7,49.9,42.6,34.6,31.0,28.4,24.6,24.7,24.5,24.1,24.0,24.0,23.8
COMESA,Common Market of Eastern and Southern Africa,Marché commun de l’Afrique orientale et australe,Regional entities,"10,815,534","9,829,128","16,086,215","26,769,757","40,375,640","60,636,509","87,715,617","137,897,238","204,215,964","315,660,581","365,001,700","412,903,790","462,376,613","512,721,895","562,723,360","610,867,590","48,295","86,596","104,504","123,078","144,092","166,880","189,642","211,750","90,770,005","113,599,123","149,560,873","197,232,913","260,673,425","332,606,820","431,143,905","487,205,936","560,910,495","628,806,215","692,313,535","754,963,380","815,795,100","873,526,668","926,887,883",11%,14%,18%,20%,23%,26%,32%,42%,56%,58%,60%,61%,63%,64%,66%,166,250,407,579,834,1219,1924,2468,3587,3630,3740,3746,3744,3741,3694,51%,51%,49%,48%,47%,46%,40%,35%,32%,34%,35%,36%,36%,37%,34%,90.5,70.5,58.4,50.1,40.8,34.2,26.7,22.8,17.7,17.8,17.7,17.8,17.6,17.7,17.8
CEN-SAD,Community of Sahel-Saharan States,Communauté des États Sahélo Sahariens,Regional entities,"10,763,073","11,108,374","17,481,854","28,425,682","44,703,282","67,493,135","97,029,254","146,630,935","195,435,941","291,693,618","330,473,904","369,845,351","410,861,212","452,612,748","493,825,055","533,301,318","37,444","72,901","86,465","101,242","118,240","136,958","155,596","173,660","78,590,575","100,255,102","131,151,519","173,070,888","224,950,874","285,366,704","369,520,154","419,395,687","475,322,864","529,784,070","581,536,337","633,774,235","685,508,535","735,317,889","781,954,825",14%,17%,22%,26%,30%,34%,40%,47%,61%,62%,64%,65%,66%,67%,68%,186,292,445,671,968,1386,1920,2295,3175,3376,3636,3860,4056,4187,4270,50%,51%,51%,50%,48%,46%,44%,42%,38%,41%,41%,41%,41%,42%,37%,83.2,63.3,55.4,45.3,38.9,32.5,26.8,23.9,19.4,19.0,18.6,18.0,17.3,17.1,17.0
CAE,East African Community,Communauté d’Afrique de l’Est,Regional entities,"4,592,519","1,111,628","2,956,706","7,169,675","11,676,960","19,223,565","32,770,829","55,967,662","84,878,772","138,596,640","168,286,811","197,406,865","227,827,146","258,532,290","289,745,768","320,064,306","26,483","58,300","71,625","85,489","101,322","118,509","135,615","152,058","35,680,732","44,255,449","62,441,509","83,232,675","110,797,658","146,265,093","193,431,604","221,971,473","263,944,729","300,279,130","336,708,332","373,221,146","408,911,899","443,172,604","475,454,647",3%,7%,11%,14%,17%,22%,29%,38%,53%,56%,59%,61%,63%,65%,67%,29,62,131,181,262,424,733,945,1728,1782,1873,1898,1867,1893,1885,57%,49%,44%,45%,45%,41%,36%,32%,25%,30%,33%,34%,35%,36%,29%,170.5,142.1,90.2,82.0,65.6,49.1,33.5,28.4,18.9,18.8,18.4,18.3,18.4,18.4,18.3
CEEAC,Economic Community of Central African States,Communauté économique des États de l’Afrique centrale,Regional entities,"6,547,170","1,378,413","3,173,664","7,909,915","13,232,859","21,361,135","31,754,462","57,318,713","78,350,619","110,507,889","133,126,746","157,231,399","182,402,849","208,595,343","235,444,030","262,346,075","14,096","19,972","25,428","32,003","39,804","48,851","58,889","68,885","29,011,329","34,585,887","47,251,423","61,967,715","82,191,115","108,602,355","144,733,278","166,205,956","206,592,572","236,780,305","267,146,726","297,823,297","328,383,509","358,053,524","386,540,290",5%,9%,17%,21%,26%,29%,40%,47%,53%,56%,59%,61%,64%,66%,68%,41,77,161,220,291,385,728,949,1330,1337,1389,1388,1357,1335,1331,58%,47%,44%,46%,48%,48%,44%,41%,38%,38%,42%,43%,44%,45%,46%,150.5,134.6,82.5,69.5,64.3,58.0,37.1,32.6,26.5,26.9,26.7,27.2,27.9,28.5,29.0
CEDEAO,Economic Community of West African States,Communauté économique des États de l’Afrique de l’Ouest,Regional entities,"5,032,970","4,956,689","10,849,558","18,109,934","31,124,914","50,211,866","76,206,975","122,837,376","158,079,509","202,529,359","237,562,062","275,671,220","315,247,150","356,064,553","396,789,222","436,305,386","28,440","41,704","50,994","62,171","75,269","90,343","106,944","123,796","58,940,750","73,543,545","95,089,356","127,597,314","167,755,929","222,310,382","303,521,146","350,630,992","395,749,135","445,709,844","497,887,843","550,501,850","602,691,849","652,760,544","700,010,846",8%,15%,19%,24%,30%,34%,40%,45%,51%,53%,55%,57%,59%,61%,62%,134,254,399,641,822,1163,1599,1967,2739,3047,3358,3605,3813,3968,4063,26%,26%,30%,32%,32%,32%,31%,29%,28%,28%,29%,29%,30%,30%,30%,68.0,50.8,42.1,33.9,31.0,26.0,21.6,19.2,15.6,15.0,14.4,14.0,13.6,13.3,13.2
IGAD,Intergovernmental Authority on Development,Autorité Intergouvernementale sur le Développement,Regional entities,"4,925,993","1,549,347","2,714,799","5,134,321","8,944,089","15,512,463","27,109,370","47,245,161","78,009,815","121,028,090","144,686,436","167,496,787","191,398,279","215,670,250","240,141,643","264,359,813","26,978","55,841","67,821","80,076","93,977","108,778","122,954","137,076","40,370,559","50,284,800","63,630,551","88,039,206","118,887,685","154,968,727","206,466,220","234,259,692","261,639,998","291,942,001","322,320,646","351,878,196","380,048,818","406,893,510","431,784,280",4%,5%,8%,10%,13%,17%,23%,33%,46%,50%,52%,54%,57%,59%,61%,31,56,94,144,239,416,750,1006,1434,1493,1536,1533,1536,1543,1525,64%,62%,59%,55%,51%,48%,38%,30%,25%,30%,31%,31%,33%,33%,24%,188.7,130.7,87.6,78.4,58.9,43.7,31.1,25.4,19.8,19.4,19.4,19.6,19.4,19.5,19.5
CDAA,Southern African Development Community,Communauté de développement de l’Afrique australe,Regional entities,"9,652,319","5,252,232","9,696,318","17,166,521","27,767,078","40,946,197","66,251,153","105,472,585","134,952,761","172,128,604","202,407,894","233,776,891","266,155,363","299,352,895","332,994,654","365,873,658","33,884","41,322","49,729","59,295","70,516","83,406","97,184","110,939","56,137,735","69,426,008","92,863,384","122,305,468","164,842,294","210,206,966","269,379,459","306,683,539","362,154,155","406,703,799","452,787,624","499,310,191","545,499,758","590,275,626","632,832,067",9%,14%,18%,23%,25%,32%,39%,44%,48%,50%,52%,53%,55%,56%,58%,90,152,269,390,508,945,1432,1727,2478,2637,2811,2930,2993,3073,3111,60%,56%,51%,48%,46%,41%,39%,38%,35%,35%,35%,36%,36%,36%,36%,157.7,116.2,91.9,69.6,61.6,41.6,32.8,29.6,23.5,22.8,22.1,21.8,21.7,21.5,21.4
UEMOA,West African Economic and Monetary Union,Union monétaire ouest-africaine,Regional entities,"3,466,290","940,020","1,800,615","3,952,262","8,218,254","13,699,005","20,753,430","32,395,470","40,582,959","54,011,068","64,772,489","76,544,659","89,209,310","102,625,437","116,292,614","129,780,893","7,044","11,082","14,123","17,927","22,622","28,136","34,217","40,166","16,185,875","21,047,916","28,516,753","39,496,931","52,564,645","69,981,908","96,718,377","111,678,491","131,635,666","150,227,040","170,073,104","190,668,399","211,667,887","232,447,947","252,688,275",6%,9%,14%,21%,26%,30%,33%,36%,41%,43%,45%,47%,48%,50%,51%,26,40,85,153,223,341,527,666,922,1079,1241,1383,1513,1610,1689,63%,63%,57%,54%,52%,50%,48%,46%,45%,44%,43%,43%,42%,42%,42%,134.4,112.1,84.0,57.2,49.8,38.6,29.3,25.6,20.6,19.4,18.4,17.3,16.3,15.8,15.4
